iter	Passed	Remaining
0	0	88
1	1	79
2	2	77
3	3	73
4	3	74
5	4	75
6	5	72
7	6	71
8	7	72
9	8	72
10	8	71
11	9	70
12	10	69
13	11	68
14	11	67
15	12	66
16	13	66
17	14	65
18	15	65
19	16	64
20	16	63
21	17	62
22	18	62
23	19	61
24	20	60
25	21	60
26	21	59
27	22	58
28	23	57
29	24	57
30	25	55
31	25	54
32	26	54
33	27	53
34	28	52
35	29	51
36	29	50
37	30	50
38	31	49
39	32	48
40	33	47
41	34	47
42	34	46
43	35	45
44	36	44
45	37	43
46	38	43
47	38	42
48	39	41
49	40	40
50	41	39
51	42	38
52	42	37
53	43	37
54	44	36
55	45	35
56	46	34
57	46	33
58	47	33
59	48	32
60	49	31
61	50	30
62	51	30
63	51	29
64	52	28
65	53	27
66	54	26
67	55	25
68	55	25
69	56	24
70	57	23
71	58	22
72	59	21
73	59	21
74	60	20
75	61	19
76	62	18
77	62	17
78	63	16
79	64	16
80	65	15
81	66	14
82	66	13
83	67	12
84	68	12
85	69	11
86	70	10
87	70	9
88	71	8
89	72	8
90	73	7
91	74	6
92	75	5
93	75	4
94	76	4
95	77	3
96	78	2
97	79	1
98	80	0
99	81	0
